rainfall_mm,Q_CN60,Q_CN70,Q_CN80,Q_CN90,Q_CN95
85.0,11.859469811510937,23.231749721306425,38.49256259204712,58.53722141889875,70.82544448239729
86.0,12.272205498695566,23.833910295712872,39.275511695906424,59.46903170055032,71.80613061065468
87.0,12.690220757167118,24.440641485545473,40.06161103047895,60.40208657247796,72.78721213117916
88.0,13.113444709626094,25.05186497575532,40.8507925072046,61.336352268667376,73.76867702532785
89.0,13.541807741807744,25.667504230314552,41.642989985693845,62.27179623359667,74.75051375667552
90.0,13.9752414744727,26.287484441985896,42.43813920454545,63.20838706847392,75.73271124707023
91.0,14.413678736139733,26.91173248378447,43.23617771509167,64.14609448031479,76.71525885410142
92.0,14.85705353653771,27.540176862065824,44.03704481792717,65.08488923368674,77.69814634988457
93.0,15.305301040754793,28.172747671176992,44.84068150208622,66.02474310495845,78.68136390107338
94.0,15.75835754406353,28.809376549610068,45.647030386740326,66.96562883890371,79.66490205001749
95.0,16.21616044740141,29.449996637600595,46.45603566529492,67.9075201075201,80.64875169698972
96.0,16.678648233486943,30.094542536115572,47.26764305177111,68.8503914709312,81.63290408341297
97.0,17.145760443552245,30.742950267178117,48.081799729364,69.79421834025067,82.61735077602128
98.0,17.61743765467352,31.395157235478326,48.89845430107526,70.7389769422943,83.60208365189558
99.0,18.093621457681735,32.05110219122196,49.71755674232309,71.68464428603342,84.58709488431761
100.0,18.574254435636085,32.71072519417052,50.53905835543765,72.6311981306905,85.57237692939081
